ENDERECO_ID	lat	long
TOAIO_0002	-5.535583	-47.964056
ALMCO_0155	-9.5765	-35.661278
ESAUE_0003	-18.500278	-40.957167
ESAUE_0004	-18.421139	-41.050722
MAAAR_0002	-3.455917	-44.7735
MGACN_0002	-19.073611	-42.543083
PRADU_0001	-26.007425	-49.323082
SPAIA_0045	-23.079972	-46.478972
PAAGAN0003	-6.893833	-50.234167
SCACH_0001	-27.08175	-52.943861
TOAGW_0003	-12.751972	-49.57
TOAGW_0004	-12.654194	-49.400389
MTAGI_0001	-14.631472	-56.666361
PEABU_0004	-7.914472	-34.915278
GOADN_0002	-16.417194	-50.166722
GOADB_0002	-16.257	-49.983
GOACG_0205	-16.803056	-49.241889
MAATP_0001	-9.111417	-45.934222
MGAGF_0003	-17.067278	-41.125056
MGAFN_0003	-21.407778	-45.945278
MGARI_0009	-18.646581	-48.205239
MGARI_0006	-18.664722	-48.199444
MGARI_0007	-18.638389	-48.184917
MGARI_0003	-18.673056	-48.173056
ACBLI_0003	-11.0141	-68.748597
ACCZU_0007	-7.630472	-72.669097
ACJOAO0002	-9.190583	-71.95125
ACMLTO0003	-8.949944	-72.790194
ACPCY_0011	-10.3325	-67.187194
ACPWTR0008	-8.263139	-72.742972
ACRBO_0002	-9.973556	-67.808222
ACRBO_0091	-9.964417	-67.840806
ACRBO_0096	-10.011139	-67.766361
ACRBO_0121	-9.955361	-67.83575
ACRBO_0117	-9.960139	-67.789028
ACRBO_0115	-9.958639	-67.808694
ACSMD_0029	-9.07125	-68.667111
GOMIH_0264	-17.732111	-49.123861
SPADD_0005	-20.898611	-51.377778
SPAII_0002	-24.514806	-48.8325
SPAAS_0076	-22.36184	-47.3806
SPAIA_0083	-23.107722	-46.572944
SPAIA_0096	-23.1608	-46.59514
PEABU_0003	-7.918861	-34.92375
PEACV_0001	-8.414917	-37.071917
PAABT_0009	-1.722222	-48.88075
PAABT_0001	-1.724389	-48.888194
PAAIU_0072	-1.38125	-48.361389
PAAGU_0001	-1.024472	-46.639917
ROAFT_0312	-11.927111	-61.991778
ROAAPC0003	-12.131161	-61.856139
RSAAFZ0008	-29.382361	-51.317417
